省份,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
山西,0.00044901612267794316,0.0060967033421531645,0.002018098368755793,0.0004174972464374199,0.003797779130373997,0.03205925157613696,0.0011574685974871939,0.038977981982733424,0.016273508081817153,0.0032992219010848887,0.0,0.0017695791039577264,0.00288756957029814,0.20073674612754805,0.0007533345586392267,0.02119723412669848,0.0044073978510454324,0.004410359985241332,0.0010929520358647997,0.024729786044369713,0.0026695975969472175,0.029794970676084255,0.0023551292321954465,0.001057472817320501,0.003028999373552125,0.5777934049877342,0.002842267204122954,0.005462347640239659,0.005700661299614433,0.00276366341886823
广东,0.008766988000689663,0.019983716768246625,0.20936685846298622,0.007961562589865195,0.017588589508528152,0.02443529679405171,0.04875538691811113,0.024664310621620368,0.028929498880032035,0.05561141876610396,0.025783896781105698,0.0,0.01598684099830352,0.026013043905345788,0.019113319859074013,0.023797405640684267,0.01839741646371693,0.018400956984207118,0.041648152097420926,0.02406224108731109,0.07647765499920942,0.02741175429080921,0.014722164360575492,0.03828853599018828,0.016275596518222205,0.025705337159440192,0.06831758825359881,0.03813920483653854,0.019676206198366908,0.01571905626564651
广西,0.0017824023819416272,0.025161932163034594,0.005448683210280176,0.0016730905085876402,0.05526047365925831,0.014555674554811734,0.0037899492313024836,0.014304346476976577,0.011248915182817919,0.007063077701073423,0.013244802380771274,0.005032654417156565,0.0,0.01305711590830398,0.002740470187329741,0.015333417709227554,0.03840783955871958,0.03835889309121757,0.0036367032400374377,0.014995602759183005,0.006362679299690664,0.012074713463449599,0.05858263889436119,0.0035502934755910313,0.2835993510967685,0.013311185136574493,0.006570076371225129,0.00866454294725399,0.026839690700475625,0.29534878429257866
新疆,0.0008007421115687704,0.010528572893091193,0.003627323218348042,0.0007444166201901091,0.006632157151609951,0.04919349749580208,0.0020714655335113117,0.05808478975430581,0.031508588145167986,0.005968459921275769,0.35717889950604204,0.0031766657168116343,0.005065159758137884,0.0,0.001345483909133038,0.03411707026892923,0.007673893998221194,0.007678940688231879,0.001955371734517936,0.03917952267941303,0.004814097021668014,0.06224791639259168,0.0041420152721156,0.0018915608926231221,0.005309560254715138,0.26522857135534716,0.0051299416875451274,0.009991044160736061,0.009863509490193276,0.004850762368156131
江苏,0.0396114355103518,0.023894163807693696,0.042837060950660935,0.03337427637745798,0.0224027689710257,0.026230270600266625,0.07688985275089101,0.026337603264995058,0.02814958735857077,0.034790403800417424,0.026846562150405914,0.046747495027673155,0.021291822871860284,0.026947618016712672,0.0,0.02592526826755781,0.022927706794805897,0.02292995487327049,0.08639644842497508,0.0260529912530231,0.037400524092815066,0.02754287882949938,0.020340354566884534,0.09334319564096864,0.021499529477342648,0.02681167881558942,0.03652813624490684,0.031141299221198345,0.02371298878124667,0.02109612325693302
江西,0.0010820033642618071,0.021059006023254858,0.004534391439972695,0.001007518606950656,0.011385060406288817,0.15391887833878562,0.0027007893781551867,0.11432572589662497,0.022654381135560574,0.007025244863288481,0.052161329268827196,0.004019023026990142,0.008226126697122908,0.047182643441554414,0.0017901603084800285,0.0,0.01369227400694028,0.013703893804115424,0.002557629977972892,0.36495906212213436,0.005834497507742143,0.030479479855794234,0.006519732178384902,0.002478549446898953,0.008696199050588898,0.054143455285067844,0.006167257642248208,0.0106876340019972,0.019187827553661434,0.007820225370334976
河北,6.214535657679309e-05,0.002425623176706829,0.00021110555613275373,5.816050214104313e-05,0.004186869987441555,0.000779260726906494,0.00013980339926280774,0.0007578207930830652,0.00052890655423127,0.0002877480575861415,0.0006721431854350801,0.00019255633501741868,0.0012769867668734791,0.0006577129991691245,9.811589607220807e-05,0.0008485660890350568,0.0,0.9772421302660931,0.0001335592530818522,0.0008178974856784848,0.0002535486687103453,0.0005855374752898621,0.000771319448641231,0.00013006261527082112,0.0014769669314685632,0.0006772986590523528,0.0002635187453972155,0.00037199668350423594,0.002962573205193892,0.001130065180947127
河南,6.214942616463173e-05,0.002431524850505735,0.00021115081142516066,5.8164079167611e-05,0.0041694405500053615,0.0007798706224801741,0.00013982340509692483,0.0007583976482306794,0.0005291880211859618,0.000287831790934316,0.0006725971963285249,0.00019259404336103696,0.001275363705450079,0.000658147766605452,9.812584835907818e-05,0.0008492890883504405,0.9772454362033969,0.0,0.000133577531821678,0.0008185692480531203,0.00025361378087638734,0.0005858822506846996,0.0007707280334968006,0.00013007996090896612,0.0014747953640150049,0.0006777596461563879,0.0002635890445787026,0.0003721362698970691,0.0029713794476336724,0.0011287943648297864
浙江,0.008937052878152258,0.010868377604025016,0.027957887639193116,0.007921957479863835,0.00995253050561772,0.012394211849185027,0.22992332134663526,0.012467168564896058,0.013739403914698061,0.019165781965306168,0.012816701008627522,0.03351909727798753,0.009297581349128831,0.012886814230981591,0.028429567358699715,0.012188307701502843,0.010269979744957851,0.010271350533365805,0.0,0.012274278952589288,0.021701264268825963,0.01330469631536259,0.008754164274449371,0.38196145073748705,0.009418328803167486,0.012792553937712524,0.020824293037472477,0.016022565135120622,0.010754794773710143,0.009184516811278248
海南,0.0009116543283113533,0.01672630798183561,0.0038570786220883356,0.0008487227061479122,0.009275008434337104,0.22351745043490176,0.0022857441072262137,0.13981518795681674,0.02028993684970315,0.006017430216414491,0.05112138671537584,0.0034138133166341624,0.006758233113310941,0.04551792888449483,0.0015112595965152526,0.3065892797732556,0.01108668212730155,0.01109575039730284,0.0021637301981265807,0.0,0.004980941870162352,0.027936588935160586,0.005380923775289742,0.0020963716305531597,0.00713544123220929,0.05340217735052946,0.005269901307318975,0.009249010731262627,0.015314303539949555,0.006431753867463846
