年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2017,天津,东部,0.20937042181641588,0.207020926121811,0.16526550630706893
2017,宁夏,西部,0.18535177626101837,0.18111786657762655,0.11469807879695194
2017,安徽,中部,0.19235307379981312,0.18724149366523507,0.12811800529927092
2017,山东,东部,0.2371714553051949,0.23168017771202193,0.17995577406530577
2017,山西,中部,0.22666110895539787,0.22339012772817657,0.16336634006773443
2017,广东,东部,0.34881571593964583,0.34512135756579165,0.3121095597367901
2017,广西,西部,0.2026074631360616,0.19615856154836098,0.1215133298525331
2017,新疆,西部,0.2174316168357726,0.20824741393780624,0.12047281865389284
2017,江苏,东部,0.278076975373846,0.271611518360969,0.21358185012412684
2017,江西,中部,0.1923641475576237,0.18674897845657545,0.11895423935914673
2017,河北,东部,0.1810745582967604,0.17638027329888809,0.12279949906168341
2017,河南,中部,0.16687379157484414,0.1633676477009977,0.11830928448698613
2017,浙江,东部,0.24398004438419213,0.23836412894176978,0.18075196075463112
2017,海南,东部,0.18123640968982796,0.17606236143516077,0.11028129140353432
2017,湖北,中部,0.18827873068310746,0.18303081324492793,0.12731222798242592
2017,湖南,中部,0.18398526634640675,0.17806085868651175,0.11703771488977927
2017,甘肃,西部,0.1565502631213827,0.15041269312010797,0.08558589730580818
2017,福建,东部,0.2148931541735626,0.2095967818608905,0.14512227052421045
2017,贵州,西部,0.21013536135279637,0.20288109606305965,0.12538316068100475
2017,辽宁,东北,0.23207102526974444,0.22596475267685456,0.15666320747764056
2017,重庆,西部,0.19543907374790717,0.19226206122196624,0.13918202156268447
2017,陕西,西部,0.17641695951763645,0.1723952002853664,0.12021404467200293
2017,青海,西部,0.2115421102469673,0.20582767982759012,0.1273889902688965
2017,黑龙江,东北,0.21919888642551882,0.21101055623958467,0.12826671830736552
2018,上海,东部,0.3753263001439534,0.3750543519975609,0.3509703650069662
2018,云南,西部,0.22858130064723992,0.21986294063048656,0.13495209448242357
2018,内蒙古,西部,0.23615262742499565,0.2266788665929496,0.1344749811150261
2018,北京,东部,0.3452646382341874,0.34384422753133703,0.3016907658805466
2018,吉林,东北,0.2086842629180968,0.2035113857471617,0.13475222294786116
2018,四川,西部,0.24784101606611653,0.23973782793693388,0.1622891466172875
2018,天津,东部,0.22536698009401204,0.22329142780417266,0.18164937986691954
2018,宁夏,西部,0.19327269549746662,0.1888845752147251,0.12052059346518626
