年份,省份,区域,双系统综合发展指数_改进模型,全国排名_改进模型,双系统综合发展指数_传统模型,全国排名_传统模型,指数差值_改进减传统,排名差值_改进减传统
2018,黑龙江,东北,0.21603361683393058,15.0,0.21603361683393052,15.0,5.551115123125783e-17,0.0
2018,广西,西部,0.2063551573201326,16.0,0.2063551573201326,16.0,0.0,0.0
2018,青海,西部,0.20632348589322522,17.0,0.20632348589322522,17.0,0.0,0.0
2018,重庆,西部,0.2057316063449975,18.0,0.20573160634499746,18.0,2.7755575615628914e-17,0.0
2018,吉林,东北,0.2035113857471617,19.0,0.2035113857471617,19.0,0.0,0.0
2018,贵州,西部,0.2027392577064286,20.0,0.20273925770642853,20.0,5.551115123125783e-17,0.0
2018,江西,中部,0.19850542153798456,21.0,0.19850542153798456,21.0,0.0,0.0
2018,安徽,中部,0.19446273659919874,22.0,0.1944627365991987,22.0,5.551115123125783e-17,0.0
2018,湖南,中部,0.19227359811696593,23.0,0.1922735981169659,23.0,2.7755575615628914e-17,0.0
2018,湖北,中部,0.19146403303536963,24.0,0.19146403303536963,24.0,0.0,0.0
2018,宁夏,西部,0.18888457521472515,25.0,0.1888845752147251,25.0,5.551115123125783e-17,0.0
2018,河北,东部,0.18530965882641465,26.0,0.18530965882641462,26.0,2.7755575615628914e-17,0.0
2018,海南,东部,0.18196586253980596,27.0,0.18196586253980596,27.0,0.0,0.0
2018,河南,中部,0.17869719366643155,28.0,0.17869719366643153,28.0,2.7755575615628914e-17,0.0
2018,陕西,西部,0.17279174167935135,29.0,0.17279174167935135,29.0,0.0,0.0
2018,甘肃,西部,0.16680150536938232,30.0,0.1668015053693823,30.0,2.7755575615628914e-17,0.0
2019,广东,东部,0.40389060853491926,1.0,0.40389060853491926,1.0,0.0,0.0
2019,上海,东部,0.3931601132899156,2.0,0.39316011328991557,2.0,5.551115123125783e-17,0.0
2019,北京,东部,0.35148717109674743,3.0,0.35148717109674743,3.0,0.0,0.0
2019,江苏,东部,0.2929287794993683,4.0,0.29292877949936824,4.0,5.551115123125783e-17,0.0
2019,山西,中部,0.27517393228380166,5.0,0.2751739322838016,5.0,5.551115123125783e-17,0.0
2019,浙江,东部,0.25573606722338915,6.0,0.25573606722338915,6.0,0.0,0.0
2019,天津,东部,0.2556481606973564,7.0,0.25564816069735635,7.0,5.551115123125783e-17,0.0
2019,辽宁,东北,0.25181511325309724,8.0,0.25181511325309724,8.0,0.0,0.0
2019,内蒙古,西部,0.23950997775479382,9.0,0.23950997775479382,9.0,0.0,0.0
2019,山东,东部,0.2349543186112138,10.0,0.23495431861121377,10.0,2.7755575615628914e-17,0.0
2019,四川,西部,0.23170816638153086,11.0,0.2317081663815308,11.0,5.551115123125783e-17,0.0
2019,黑龙江,东北,0.23071696008321885,12.0,0.23071696008321885,12.0,0.0,0.0
2019,新疆,西部,0.21860279030395452,13.0,0.21860279030395452,13.0,0.0,0.0
2019,福建,东部,0.217564829086697,14.0,0.21756482908669697,14.0,2.7755575615628914e-17,0.0
2019,河北,东部,0.21222899281660768,15.0,0.21222899281660768,15.0,0.0,0.0
2019,广西,西部,0.208599687582681,16.0,0.20859968758268096,16.0,2.7755575615628914e-17,0.0
2019,云南,西部,0.20689970630199608,17.0,0.20689970630199606,17.0,2.7755575615628914e-17,0.0
2019,青海,西部,0.2061509579502503,18.0,0.20615095795025026,18.0,2.7755575615628914e-17,0.0
2019,吉林,东北,0.2044830074499046,19.0,0.2044830074499046,19.0,0.0,0.0
2019,江西,中部,0.2032863411025223,20.0,0.2032863411025223,20.0,0.0,0.0
2019,重庆,西部,0.20198972288804898,21.0,0.20198972288804895,21.0,2.7755575615628914e-17,0.0
2019,安徽,中部,0.19727443274779619,22.0,0.19727443274779619,22.0,0.0,0.0
2019,贵州,西部,0.1944533381395815,23.0,0.19445333813958146,23.0,2.7755575615628914e-17,0.0
2019,湖南,中部,0.19411803410563322,24.0,0.19411803410563322,24.0,0.0,0.0
2019,湖北,中部,0.1916844013724259,25.0,0.19168440137242587,25.0,2.7755575615628914e-17,0.0
2019,宁夏,西部,0.18491897264115573,26.0,0.18491897264115573,26.0,0.0,0.0
2019,河南,中部,0.1796555201080231,27.0,0.17965552010802308,27.0,2.7755575615628914e-17,0.0
2019,海南,东部,0.17613902054890299,28.0,0.17613902054890296,28.0,2.7755575615628914e-17,0.0
2019,陕西,西部,0.16453515435688293,29.0,0.16453515435688293,29.0,0.0,0.0
2019,甘肃,西部,0.1631894567904556,30.0,0.1631894567904556,30.0,0.0,0.0
2020,广东,东部,0.432727396677675,1.0,0.432727396677675,1.0,0.0,0.0
2020,上海,东部,0.40207877428840055,2.0,0.40207877428840055,2.0,0.0,0.0
2020,北京,东部,0.36114565455111736,3.0,0.36114565455111725,3.0,1.1102230246251565e-16,0.0
2020,江苏,东部,0.3207578608652244,4.0,0.3207578608652244,4.0,0.0,0.0
2020,浙江,东部,0.2879376996919793,5.0,0.28793769969197924,5.0,5.551115123125783e-17,0.0
2020,山东,东部,0.26771994881296896,6.0,0.2677199488129689,6.0,5.551115123125783e-17,0.0
2020,四川,西部,0.2592393610786661,7.0,0.2592393610786661,7.0,0.0,0.0
2020,辽宁,东北,0.2500295787711731,8.0,0.25002957877117304,8.0,5.551115123125783e-17,0.0
2020,新疆,西部,0.23937060029994262,9.0,0.23937060029994262,9.0,0.0,0.0
2020,福建,东部,0.2378571039873539,10.0,0.23785710398735385,10.0,5.551115123125783e-17,0.0
2020,天津,东部,0.2373736694998907,11.0,0.23737366949989067,11.0,2.7755575615628914e-17,0.0
2020,内蒙古,西部,0.2362934628955316,12.0,0.23629346289553158,12.0,2.7755575615628914e-17,0.0
2020,江西,中部,0.23208895698741844,13.0,0.23208895698741844,13.0,0.0,0.0
2020,黑龙江,东北,0.230518183020334,14.0,0.23051818302033397,14.0,2.7755575615628914e-17,0.0
2020,山西,中部,0.2296710202980582,15.0,0.2296710202980582,15.0,0.0,0.0
2020,重庆,西部,0.2274933591370129,16.0,0.22749335913701282,16.0,8.326672684688674e-17,0.0
2020,湖南,中部,0.22571864733361371,17.0,0.2257186473336137,17.0,2.7755575615628914e-17,0.0
2020,云南,西部,0.22564171073882794,18.0,0.22564171073882788,18.0,5.551115123125783e-17,0.0
2020,青海,西部,0.2253311088478709,19.0,0.22533110884787083,19.0,5.551115123125783e-17,0.0
