年份,省份,区域,低空经济指数,绿色交通指数,双系统综合发展指数,全国排名
2017,福建,东部,0.10438882234029574,0.3148047413814853,0.2095967818608905,12.0
2017,贵州,西部,0.13869028070384945,0.2670719114222698,0.20288109606305965,17.0
2017,辽宁,东北,0.1548840880713816,0.29704541728232753,0.22596475267685456,7.0
2017,重庆,西部,0.08929635111793917,0.2952277713259933,0.19226206122196624,19.0
2017,陕西,西部,0.10461694212403151,0.24017345844670127,0.1723952002853664,28.0
2017,青海,西部,0.07961711100686357,0.33203824864831666,0.20582767982759012,16.0
2017,黑龙江,东北,0.1451495700725951,0.27687154240657424,0.21101055623958467,11.0
2018,上海,东部,0.26731523608012575,0.48279346791499594,0.3750543519975609,1.0
2018,云南,西部,0.16746215366412714,0.272263727596846,0.21986294063048656,13.0
2018,内蒙古,西部,0.1802997933138541,0.27305793987204513,0.2266788665929496,10.0
2018,北京,东部,0.27171169717408566,0.41597675788858846,0.34384422753133703,3.0
2018,吉林,东北,0.10932988603259605,0.29769288546172734,0.2035113857471617,19.0
2018,四川,西部,0.23761136527701227,0.24186429059685552,0.23973782793693388,7.0
2018,天津,东部,0.07257248436000814,0.3740103712483372,0.22329142780417266,12.0
2018,宁夏,西部,0.03747950134195001,0.3402896490875002,0.1888845752147251,25.0
2018,安徽,中部,0.09768240618945766,0.2912430670089397,0.1944627365991987,22.0
2018,山东,东部,0.21314593797512832,0.26666124718913076,0.23990359258212954,6.0
2018,山西,中部,0.2209620172818226,0.2560633626124547,0.23851268994713865,8.0
2018,广东,东部,0.40307218034764736,0.33793015740578214,0.37050116887671475,2.0
2018,广西,西部,0.12859715317288908,0.2841131614673761,0.2063551573201326,16.0
2018,新疆,西部,0.1728754650558095,0.26402641908634716,0.21845094207107835,14.0
2018,江苏,东部,0.22814369312732433,0.32684517773881805,0.2774944354330712,4.0
2018,江西,中部,0.10090335095293003,0.2961074921230391,0.19850542153798456,21.0
2018,河北,东部,0.12816974940952433,0.2424495682433049,0.18530965882641462,26.0
2018,河南,中部,0.1268707060264896,0.23052368130637346,0.17869719366643153,28.0
2018,浙江,东部,0.1706073338046028,0.3331722816776728,0.2518898077411378,5.0
2018,海南,东部,0.07080371952334437,0.29312800555626756,0.18196586253980596,27.0
2018,湖北,中部,0.1201510618069557,0.26277700426378353,0.19146403303536963,24.0
2018,湖南,中部,0.128865855019498,0.2556813412144338,0.1922735981169659,23.0
2018,甘肃,西部,0.11598868510763512,0.21761432563112948,0.1668015053693823,30.0
2018,福建,东部,0.12093382888897036,0.3271057139300097,0.22401977140949003,11.0
2018,贵州,西部,0.13072166286152456,0.27475685255133253,0.20273925770642853,20.0
2018,辽宁,东北,0.15292491932447286,0.30614785517383264,0.22953638724915276,9.0
2018,重庆,西部,0.10671299468508033,0.3047502180049146,0.20573160634499746,18.0
2018,陕西,西部,0.09655946305279674,0.24902402030590598,0.17279174167935135,29.0
2018,青海,西部,0.07077412875753146,0.34187284302891896,0.20632348589322522,17.0
2018,黑龙江,东北,0.14602244958011504,0.286044784087746,0.21603361683393052,15.0
2019,上海,东部,0.32144230097000703,0.4648779256098241,0.39316011328991557,2.0
2019,云南,西部,0.1460919837822,0.2677074288217921,0.20689970630199606,17.0
2019,内蒙古,西部,0.2154250343607,0.2635949211488876,0.23950997775479382,9.0
2019,北京,东部,0.3060995415090072,0.39687480068448766,0.35148717109674743,3.0
2019,吉林,东北,0.11761567166503888,0.2913503432347703,0.2044830074499046,19.0
2019,四川,西部,0.22318785431325125,0.24022847844981038,0.2317081663815308,11.0
2019,天津,东部,0.14968352435423163,0.3616127970404811,0.25564816069735635,7.0
2019,宁夏,西部,0.03291509820625883,0.33692284707605263,0.18491897264115573,26.0
2019,安徽,中部,0.10325995527554553,0.2912889102200468,0.19727443274779619,22.0
2019,山东,东部,0.20667255179798522,0.2632360854244423,0.23495431861121377,10.0
2019,山西,中部,0.2949277859033565,0.25542007866424676,0.2751739322838016,5.0
2019,广东,东部,0.4718096762345398,0.33597154083529873,0.40389060853491926,1.0
2019,广西,西部,0.13676430387363742,0.2804350712917245,0.20859968758268096,16.0
2019,新疆,西部,0.17452989937816715,0.2626756812297419,0.21860279030395452,13.0
2019,江苏,东部,0.2708508490094253,0.31500670998931124,0.29292877949936824,4.0
2019,江西,中部,0.11357960519018118,0.29299307701486343,0.2032863411025223,20.0
2019,河北,东部,0.18668794113292742,0.23777004450028794,0.21222899281660768,15.0
2019,河南,中部,0.12781327529359643,0.23149776492244972,0.17965552010802308,27.0
2019,浙江,东部,0.18710060702312542,0.32437152742365283,0.25573606722338915,6.0
2019,海南,东部,0.06437177368649272,0.2879062674113132,0.17613902054890296,28.0
2019,湖北,中部,0.1270500144606731,0.25631878828417864,0.19168440137242587,25.0
2019,湖南,中部,0.13451785314590856,0.25371821506535785,0.19411803410563322,24.0
2019,甘肃,西部,0.1077182300802603,0.21866068350065088,0.1631894567904556,30.0
2019,福建,东部,0.12261818289203495,0.312511475281359,0.21756482908669697,14.0
2019,贵州,西部,0.11625112162788988,0.27265555465127306,0.19445333813958146,23.0
2019,辽宁,东北,0.20222796020013348,0.301402266306061,0.25181511325309724,8.0
2019,重庆,西部,0.10317251457078097,0.30080693120531693,0.20198972288804895,21.0
2019,陕西,西部,0.08374455378533759,0.24532575492842826,0.16453515435688293,29.0
2019,青海,西部,0.07450586917022035,0.3377960467302802,0.20615095795025026,18.0
2019,黑龙江,东北,0.17834823588704382,0.2830856842793939,0.23071696008321885,12.0
2020,上海,东部,0.26785728972853945,0.5363002588482616,0.40207877428840055,2.0
2020,云南,西部,0.14583044355622807,0.30545297792142767,0.22564171073882788,18.0
2020,内蒙古,西部,0.16710320824330854,0.3054837175477546,0.23629346289553158,12.0
2020,北京,东部,0.25144752342718535,0.4708437856750492,0.36114565455111725,3.0
2020,吉林,东北,0.08766425849339415,0.3320802308376581,0.20987224466552612,24.0
2020,四川,西部,0.23632793722217402,0.28215078493515816,0.2592393610786661,7.0
2020,天津,东部,0.06670000617713163,0.4080473328226497,0.23737366949989067,11.0
2020,宁夏,西部,0.034136543220183585,0.37510284172107344,0.2046196924706285,25.0
2020,安徽,中部,0.111117375349671,0.3363770125580629,0.22374719395386694,20.0
2020,山东,东部,0.22341807523269303,0.31202182239324483,0.2677199488129689,6.0
2020,山西,中部,0.16719022231724576,0.29215181827887066,0.2296710202980582,15.0
2020,广东,东部,0.46877578202986764,0.39667901132548244,0.432727396677675,1.0
2020,广西,西部,0.12794012304434366,0.3179249106239128,0.22293251683412824,21.0
2020,新疆,西部,0.1700362326765146,0.3087049679233706,0.23937060029994262,9.0
2020,江苏,东部,0.2649146981722911,0.37660102355815767,0.3207578608652244,4.0
2020,江西,中部,0.13135533276354358,0.33282258121129327,0.23208895698741844,13.0
2020,河北,东部,0.12042796714512403,0.27739917232762895,0.1989135697363765,27.0
2020,河南,中部,0.13405749931567304,0.2682100744362138,0.2011337868759434,26.0
2020,浙江,东部,0.19413833644026948,0.38173706294368903,0.28793769969197924,5.0
2020,海南,东部,0.0643207089837146,0.3207458450036029,0.19253327699365877,28.0
2020,湖北,中部,0.12511920364171458,0.30606393207399324,0.2155915678578539,22.0
2020,湖南,中部,0.15515322050886732,0.29628407415836006,0.2257186473336137,17.0
2020,甘肃,西部,0.10227800196450945,0.25232264133583954,0.1773003216501745,30.0
2020,福建,东部,0.11421506152078469,0.361499146453923,0.23785710398735385,10.0
2020,贵州,西部,0.11874605861795384,0.31236673755845296,0.2155563980882034,23.0
2020,辽宁,东北,0.1573094161231292,0.3427497414192169,0.25002957877117304,8.0
2020,重庆,西部,0.10828874602504729,0.34669797224897836,0.22749335913701282,16.0
2020,陕西,西部,0.08537158630524405,0.2870835769050891,0.1862275816051666,29.0
2020,青海,西部,0.07449974811936058,0.3761624695763811,0.22533110884787083,19.0
2020,黑龙江,东北,0.1396051644349356,0.32143120160573235,0.23051818302033397,14.0
2021,上海,东部,0.27532892879927734,0.5482073926859378,0.4117681607426076,2.0
2021,云南,西部,0.1494081594059287,0.3056119646862284,0.22751006204607854,16.0
2021,内蒙古,西部,0.17519308595912345,0.30805175049455974,0.2416224182268416,10.0
2021,北京,东部,0.26255214698922286,0.47994469252860894,0.37124841975891587,3.0
2021,吉林,东北,0.082753844401709,0.32658936456869053,0.20467160448519978,24.0
2021,四川,西部,0.24732186478372817,0.2844170180630484,0.2658694414233883,7.0
2021,天津,东部,0.06713226055102844,0.4109047812946863,0.23901852092285739,12.0
2021,宁夏,西部,0.035347999407475496,0.3735479186335992,0.20444795902053736,25.0
2021,安徽,中部,0.13624778059756704,0.3431926463085669,0.23972021345306696,11.0
2021,山东,东部,0.23540135911962515,0.3160587570070239,0.2757300580633245,6.0
2021,山西,中部,0.1603000307145997,0.2975398538392113,0.22891994227690549,14.0
2021,广东,东部,0.5157376477170418,0.41121700406724343,0.46347732589214263,1.0
2021,广西,西部,0.1338885422831794,0.3179046849921658,0.2258966136376726,20.0
2021,新疆,西部,0.17369450318491542,0.30120093530488534,0.23744771924490038,13.0
2021,江苏,东部,0.2816676663572149,0.38759068075891223,0.33462917355806354,4.0
2021,江西,中部,0.11859429477970487,0.336782006353497,0.2276881505666009,15.0
2021,河北,东部,0.11251219457126982,0.2779915094895008,0.1952518520303853,28.0
2021,河南,中部,0.13167819017158314,0.2673284628246631,0.19950332649812313,26.0
2021,浙江,东部,0.21789133750959663,0.3914391545906734,0.304665246050135,5.0
2021,海南,东部,0.06584231964531476,0.3283690198975064,0.19710566977141059,27.0
2021,湖北,中部,0.14072857083545323,0.30645799682240576,0.2235932838289295,22.0
2021,湖南,中部,0.14898238246632062,0.3021252835364605,0.22555383300139056,21.0
2021,甘肃,西部,0.10467578428787705,0.2534790317927513,0.17907740804031416,30.0
2021,福建,东部,0.13313369063759845,0.3672304519319513,0.2501820712847749,8.0
2021,贵州,西部,0.11847267713409075,0.31345919253782367,0.21596593483595722,23.0
2021,辽宁,东北,0.14839825127089037,0.34629231590106757,0.24734528358597896,9.0
2021,重庆,西部,0.1039480549190242,0.34868958370477043,0.22631881931189732,19.0
2021,陕西,西部,0.09049666998741827,0.28952612879472917,0.19001139939107373,29.0
2021,青海,西部,0.07701381975726725,0.37691892079137307,0.22696637027432015,18.0
2021,黑龙江,东北,0.13498036174557726,0.3198352903077275,0.22740782602665238,17.0
2022,上海,东部,0.2599825036107941,0.5905995202427792,0.42529101192678664,2.0
